Away Team,Home Team,Away Spread,Home Spread,Total,Away Moneyline,Home Moneyline
BOS Celtics,ORL Magic,+7.5 (-110),-7.5 (-110),"206.5 (O: -110, U: -110)",+250,-310
PHI 76ers,WAS Wizards,-2.5 (-110),+2.5 (-110),"224.5 (O: -108, U: -112)",-135,+114
LA Lakers,DAL Mavericks,-3.5 (-112),+3.5 (-108),"229.5 (O: -110, U: -110)",-170,+142
CHA Hornets,TOR Raptors,+10 (-108),-10 (-112),"218.5 (O: -110, U: -110)",+370,-485
MIA Heat,CHI Bulls,-1 (-115),+1 (-105),"227.5 (O: -110, U: -110)",-118,-102
POR Trail Blazers,UTA Jazz,-6.5 (-110),+6.5 (-110),"230 (O: -112, U: -108)",-245,+200
OKC Thunder,PHO Suns,-10 (-105),+10 (-115),"227 (O: -110, U: -110)",-395,+310
DEN Nuggets,SAC Kings,-4 (-112),+4 (-108),"234.5 (O: -110, U: -110)",-180,+150
SA Spurs,GS Warriors,+16.5 (-108),-16.5 (-112),"232 (O: -110, U: -110)",+900,-1600
HOU Rockets,LA Clippers,+8 (-112),-8 (-108),"219 (O: -110, U: -110)",+250,-310
